activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
closing the gate,,dryer door
closing the gate of a fence,,dryer door or floor
closing the house door,,dryer lid
closing the lid on a hot tub,,dryer machine
closing the refrigerator door,,dryer metal
closing the shower curtain,,dryer sheet
closing the shutters,,"dryer sheet, doorframe"
closing the window,,"dryer sheet, hard floor"
closing the windows,,"dryer sheet, window sill"
closing thumb in door,,dryer sheets
closing thumb in dryer door,,dryer softener sheets
closing trash can lid,,"dryer, refrigerator, floor"
closing up a folding knife,,"dryer, stairs, door"
closing up a pocketknife,,dryerase board
closing up his pocketknife,,drying paint vapors
closing up the shed,,drywall
closing vehicle door,,drywall ceiling
closing window,,drywall dust
closing window shade,,drywall knife
closing windows,,drywall screw
clumped up toilet tissue and inserted into her vagina,,drywall wall
co bicycle,,drywalling blade
co burning r hand on cefe cup,,duck boots
co burning rt arm w iron,,duct tape
co drum sound in ear,,duct work
co fall in bathroom floor,,ductwork
co fish,,ductwork for heating or cooling systems
co fishing,,ductwork vent
co right pinky toe on a chair,,duffel bag
co seizure,,"duffel bag, folding chairs"
co sleeping,,duffle bag
co sleeping w/parents,,"duffle bag, laundry basket"
co withdrawals from alcohol and seizure,,duffle bags
coaching,,dug out
coaching a soccer game,,dull razor
coaching baseball,,dumb bell
coaching basketball,,dumb bells
coaching basketball practice,,dumbbell
coaching football,,dumbbell rack
coaching her daughter softball team,,dumbbell weight
coaching hockey,,dumbbell weights
coaching lacrosse,,dumbbells
coaching little league baseball,,"dumbbells, stool"
coaching soccer team,,dummies
coaching softball player,,dump box
coaching softball team,,dump trailer
coaching volleyball practice,,dump truck
cocaine use,,dump truck step
cocaine use and nitrous oxide use,,dumpster
coitus,,dumpster and a car
collapsed,,dumpster and building
collapsed on hot patio,,dumpster and truck
collapsed out of bed,,dumpster chest
collapsing stroller,,dumpster cover
collapsing to floor,,dumpster door
collecting a fallen object,,dumpster lid
collecting bottles,,"dumpster, cardboard"
collecting bottles in trash can,,"dumpster, concrete"
collecting knives,,"dumpster, flat screen tv"
collecting scrap metal from old burned out bldg,,dumpsters
collecting tin cans,,"dumpsters, shower"
collecting trash,,dumster
collecting wool off of sheep,,dune buggy
college football game,,dunk tank
collegiate flag football game,,durag
collided grocery carts,,dust
collided w another child on swimming pool slide,,dust and particulate matter
collided wfriend on trampoline,,"dust bin, wall"
collided with a bike,,dust cleaner
collided with a door,,dust from carpet cleaner
collided with another child,,dust from heater
collided with another child at school,,dust pan
collided with another child on a trampoline,,"dust pan, steps"
collided with another person on trampoline,,dust particles
collided with another student,,dustmop
collided with cousin on waterslide,,dustpan
collided with door,,dusty computer
collided with mother carrying hot water,,duvet cover
collided with other child,,dvd
collided with other children,,dvd cabinet
collided with other kids on trampoline,,dvd case
collided with ottoman,,dvd player
collided with sibling,,dvd set
collided with sister,,dvds and cds
collided with someone else on a bike,,dx chemical
collided with wall,,dx chi
colliding head on w a car and falling off a moped in traffic,,dx fb
colliding with another child,,dx scalp abrasion
colliding with sibling,,dydro flask
collision on trampoline,,dye
collision w friend on water slide,,e bike
coloar guard practice,,e bike electric bike
color guard,,e cigarette
color guard competition,,e-bike
color guard dancing,,e-cigarette nicotine vapor
color guard flag practice,,ear
color guard practice,,ear ache
color guard tryouts,,ear bub cushion
colored his face with a marker,,ear bud
colorguard,,ear bud cover
colorguard practice,,ear bud cushion
coloring,,ear bud from head phones
coloring at table,,ear bud from headphones
coloring in a coloring book,,ear bud headphones
combative and choking a deputy,,ear bud pieces
combined bleach and hot water,,ear buds
combing hair,,ear buds headphones
combing her hair,,ear canal
combing his hair,,ear cartilage piercing
combining chlorine powder and ***,,ear drum
comes in contact with the rug,,ear infection
coming across the door step,,ear of small toy mouse
coming back from bathroom,,ear pain
coming back from bird feeder,,ear phone
coming back from using the bathroom,,ear phones
coming back home from a walk,,ear piece
coming down,,ear piece of sunglasses
coming down 1 step,,ear piercing
coming down a flight of stairs,,ear piercings
coming down a hill on his mountain bike,,ear plug
coming down a ladder,,ear plugs
coming down a ladder off a bunk bed,,ear ring
coming down a ramp,,ear ring back
coming down a set of cement stairs,,ear ring backing
coming down a set of stairs,,ear ring backs
coming down a slide,,ear ring clasp
coming down a sliding board,,ear rings
coming down a step,,ear speculum
coming down a stepladder,,ear stretching gauge
coming down a water slide,,ear stud
coming down an escalator,,ear tubes
coming down an inflatable slide,,earbud
coming down back steps of house,,earbud cover
coming down bunk bed ladder,,earbud from headphones
coming down bunk bed steps,,earbud rubber
coming down carpeted steps,,earbud tip
coming down concrete steps,,earbuds
coming down driveway,,eardrops
coming down embankment,,earing
coming down escalator,,earing back
coming down flight of stairs,,earlobe piercing
coming down from a bunk bed,,"earloud speaker, toothpick"
coming down from a jump,,earphone
coming down from a ladder,,earphone cover
coming down from a pullup,,"earphones, earrings"
coming down from attic,,earpiece of *** from beanbag chair
coming down from bunk bed,,earplug
coming down from concrete steps,,earplug wax
coming down from ladder,,earplugs
coming down from loft from his room,,earring
coming down from roof,,earring back
coming down from table,,earring backing
coming down from the stair case,,earring backs
coming down from the stairs,,earring ball
coming down from the top bunk of a bunk bed,,earring fastener
coming down from the top bunk of his bunk bed,,earring piece
coming down from the top of his bunk bed,,earring piercing
coming down from tree stand,,earring plastic back
coming down front steps,,earring plug
coming down hard on rt knee,,earring post
coming down her mothers stairs,,earring post and back
coming down hill,,earring posts
coming down his spiral staircase,,earring stud
coming down in elevator,,earring studs
coming down ladder,,earrings
coming down ladder from attic with bucket of water,,"earrings, sheet"
coming down ladder of bunkbed,,ears
coming down loft ladder,,ears pierced
coming down mountain with wheelbarrow full of wood,,easel
coming down off a ladder,,easter baskets
coming down off a porch,,easter eggs
coming down off a step,,easy chair
coming down off a step stool,,eating chair
coming down off boat,,eating tray
coming down off ladder,,eating utensil
coming down off of a ladder,,ebd
coming down off step stool,,ebike
coming down off the ladder,,ebike seat
coming down off the porch,,"ebike, car"
coming down on a,,ecigarette
coming down on a 4 step ladder from a loft,,ecigarette battery
coming down on a ladder,,ecigarette liquid
coming down on a slide,,edge
coming down on a water slide,,edge of bed
coming down on a zipline,,edge of deck
coming down on an inflatable slider,,edge of door
coming down on her right side,,edge of her dress
coming down on porch steps,,edge of metal
coming down on stair case,,edge of outdoor step
coming down outside porch,,edge of pool
coming down patio step,,edge of rink; head onboards
coming down ramp,,edge of step
coming down slide,,edge of swimming pool
coming down sliding boards,,edge of the pool
coming down some stairs,,edge of wooden bed
coming down some steps,,edge trimmer
coming down some steps outside,,edger
coming down stairs,,edging around flower bed
coming down stairs carrying a childs mattress,,edging of a flower bed
coming down stairs carrying a table,,edging saw
coming down stairs from deck,,"edging, patio floor"
coming down stairs quickly,,edible
coming down stairs w laundry basket,,edibles
coming down step,,edibles of thc
coming down stepladder,,eflornithine
coming down steps,,egg
coming down steps and turned the corner,,egg cartons
coming down steps of step ladder,,egg vibrator
coming down the bleachers,,eggs
coming down the bounce house slide,,egress window
coming down the escalator,,egyptian cotton sheets
coming down the fire pole,,eight foot ladder
coming down the ladder,,elastic band
coming down the ladder from the attic,,elastic band of underwear
coming down the ladder from the bunkbed,,elastic band with metal
coming down the slide,,elastic bands
coming down the stairs,,elastic cord
coming down the step,,elastic exercise band
coming down the steps,,elastic hair band
coming down the steps off of the trampoline,,elastic strap
coming down water slide,,elastic workout band
coming down wet steps,,elbow
coming downstairs,,elbows
coming from ***,,elec portable grinder
coming from air conditioning unit,,election signs
coming from airport in which pt was in stroller,,electral metal box
coming from bathroom,,electrc fireplace
coming from mri test,,electrc seated cooter
coming from opposite directions through a door,,electri cord
coming from parking lot,,electric *** tool
coming from rehab and sports,,electric 2 wheeled bike
coming from scaffolding,,electric baseboard heater
coming home,,electric bicycle
coming home from church,,"electric bicycle, curb"
coming home from supermarket,,"electric bicycle, park car"
coming home from vacation trip,,"electric bicycle, parked car"
coming home intoxicated,,"electric bicycle, pavement"
coming in close contact w tree pruner,,"electric bicycle, tram tracks"
coming in fr outside at daycare,,electric bike
coming in from outside,,"electric bike, bags"
coming in from snow outside,,"electric bike, car door"
coming in from the rain,,"electric bike, parked car"
coming in front door of home,,"electric bike, sand, concrete"
coming in her back door,,"electric bike, stationary vehicle"
coming in house from pool,,"electric bike, vehicle"
coming in the front door,,electric bike; hedges
coming in through a door,,electric bikes
coming inside,,electric blanket
coming inside of the house,,electric blender
coming into contact with a harsh laundry soap,,electric blender blade
coming into door,,electric blue string
coming into her house,,electric boiler
coming into her house from the rain,,electric box
coming into the house,,electric box cover
coming into the kitchen from the swimming pool,,electric breaker box
coming off a bench,,electric broom
coming off a kiddy slide into a small pool,,electric brush trimmer
coming off a ladder,,electric buffer
coming off a ramp,,electric burner of stove
coming off a slide,,electric bush trimmer
coming off a slide of a bounce house,,electric cable
coming off a trail onto street on dirt bike,,electric call bell
coming off a tree,,electric can opener
coming off an elevator,,electric car seat
coming off bleachers a game,,electric cart
coming off deck,,electric chain saw
coming off escalator,,electric chair
coming off her computer,,electric chop saw
coming off his roof stepping on the ladder,,electric christmas lights
coming off ladder,,electric circular saw
coming off of 34 ft jump,,electric clothes dryers
coming off of ladder,,electric cord
coming off of the last rung of a ladder,,"electric cord, wooden floor"
coming off porch,,electric cutting tool
coming off roof onto ladder,,electric dirt bike
coming off slide,,electric drill
coming off step,,electric dryer
coming off the end of slide,,electric edger
coming off the last step,,electric extension cord
coming off the last step of her house,,electric fan cord
coming off the porch,,electric fence
coming off the top bunk,,electric fireplace
coming off the trampoline,,"electric fireplace, stone"
coming off top bunk bed,,electric flat iron
coming off waterslide,,electric frying pan
coming out,,electric griddle
coming out bathroom,,electric grinder
coming out doorway,,electric guitar
coming out from basketball court,,electric hair curlers
coming out of a bar,,electric hammer
coming out of a building,,electric heater
coming out of a camper,,"electric heater, propane explosion"
coming out of a laundry mat,,electric heaters
coming out of a restaurant,,electric heating pad
coming out of a store,,electric hedge clippers
coming out of a swimming pool,,electric hedge cutter
coming out of an above ground pool,,electric hedge trimmer
coming out of an elevator,,electric hedge trimmers
coming out of apartment,,electric hedger
coming out of attic,,electric hoof grinder
coming out of bathroom,,electric hot plate
coming out of bathroom after shower,,electric hot water heater
coming out of bathroom at swimming pool,,electric hoverboard
coming out of bathtub,,electric hurricane shutter
coming out of bed,,electric kettle
coming out of bedroom,,electric knife
coming out of bouncy house,,electric knife sharpeners
coming out of bouncy house at baseball game,,electric lawn mower
coming out of clinic appt,,electric lighting equipment
coming out of deli,,electric massager
coming out of dentist office,,electric mixer
coming out of deptstore,,electric mixers
coming out of dog kennel,,electric mobile scooter
coming out of dr office,,electric mobility cart
coming out of elevator,,electric mobility scooter
coming out of gas station,,"electric mobility scooter, wheelchair, floor"
coming out of grandmas mobile home,,electric moped
coming out of grocery store and dropped one of the bags,,electric motor
coming out of her bathroom,,electric motorbike
coming out of her camper,,electric motorized cart
coming out of her garage,,electric motorized dirt bike
coming out of her home,,electric motors
coming out of her house,,electric outlet
coming out of her house into her garage,,electric outlets or receptacles
coming out of her room using her walker,,electric oven
coming out of her shower,,electric ovens
coming out of his aunts trailer,,electric pencil sharpener
coming out of his bathroom,,electric plug
coming out of his hot tub,,electric portable grinder
coming out of his house,,electric pot
coming out of hot tub,,electric pruner
coming out of house,,electric range
coming out of movie theater,,electric razor
coming out of movie theater restroom,,electric razors or shavers
coming out of own apartment,,electric road bicycle
coming out of pediatrician's office,,electric sander
coming out of pool,,electric saw
coming out of pool during vacation,,electric saw cutter
coming out of restaurant,,electric scale
coming out of room,,electric scooter
coming out of school,,"electric scooter, bike"
coming out of school after registering her child for school,,"electric scooter, car"
coming out of shower,,"electric scooter, car door"
coming out of shower after basketball practice,,"electric scooter, concrete"
coming out of showers,,"electric scooter, curb, hard floor"
coming out of store,,"electric scooter, electric fence"
coming out of store in stroller,,"electric scooter, fence"
coming out of swimming pool,,"electric scooter, kneepad"
coming out of the *** station,,"electric scooter, motor vehicle"
coming out of the bathroom,,"electric scooter, moving car"
coming out of the bathtub,,"electric scooter, parked car"
coming out of the br,,"electric scooter, pavement"
coming out of the casino,,"electric scooter, pole"
coming out of the elevator,,"electric scooter, solid planter"
coming out of the garage,,"electric scooter, stairs"
coming out of the house,,"electric scooter, truck"
coming out of the pool,,"electric scooter, vehicle"
coming out of the shower,,"electric scooter, wooden gate"
coming out of townhouse,,"electric scooter,bike"
coming out of tub,,electric scooter; pothole
coming out the door,,electric screw driver
coming through the front door,,electric screwdriver
coming to a short stop,,electric shaver
coming to a stop on motorcycle,,electric shopping cart
coming to breakfast,,electric skateboard
coming to pool gate,,electric skillet
coming up 3 steps from kitchen,,electric slicer
coming up basement stairs,,electric snippers
coming up from under water in an inground pool,,electric snowboard
coming up his basement steps,,electric space heater
coming up in pool,,electric spinning saw
coming up steps to deck,,electric stand scooter
coming up the stairs,,electric stand up scooter
coming up the steps,,electric stove
commuting to work,,electric stove burner
commuting to work on his motorized unicycle,,electric stove top
competing at a long jump competition,,"electric stove, torch"
competing in a competition,,electric support cable
competing in a cross country track meet,,electric tea maker
competing in a race,,"electric toothbrush, pencils"
competing in a skii race,,electric toy car
competing in a triathlon,,electric tricycle
competing in a triathlon running kyaking and 10 speed,,electric trimmer
competing in bike race,,electric trimmers
competing in cheerleading event,,electric unicycle
competing in martial art competition,,electric weed trimmer
competing in mixed martial arts competition,,electric wheel chair
competing in obstacle course,,electric wheelchair
competing in roller derby,,electric wheelchair or scooter
competing in soccer practice,,electric whip cream beater
competing in wrestling match,,electric wire
competing in wrestling tournament,,electric wiring
competition lifted heavy objects,,electric wood planer
competitive cheer,,electric wrench
competitive cheerleading,,electrical arm
competitive dance competition,,electrical blanket
competitive power lifting,,electrical box
competitive swimming,,electrical cable
competitive swimming race,,electrical charging cord
competitive weightlifting,,electrical circular saw
competitively bull riding,,electrical clippers lubricant
completed a 1 mile swim,,electrical copper wire
completed his workout at the gym,,electrical cord
completing a long distance swim,,electrical cord connector for hair dryer
completing a mile challenge in gym,,"electrical cord of heater, basement concrete floor"
completing a new exercise routine,,"electrical cord, bed"
completing a puzzle,,"electrical cord, cement floor"
completing a stunt,,"electrical cord, pew, carpet"
completing a swim match,,"electrical cord, recliner"
completing an obstacle course,,"electrical cord, rug, hardwood floor"
completing gymnastic routine,,"electrical cord, wall"
completing obstacle course,,electrical cords
completing the prep for a colonoscopy,,"electrical cords, outlets"
compressing kale in blender,,electrical device
compressing the garbage into the bin,,electrical equipment
compressing trash,,electrical extension cord
computer use,,electrical fan
"computer work, carpentry",,electrical fence
concentrated bicep curls,,electrical fire
concert,,electrical fuse box
concert mosh pit,,electrical heater
concert on top of someone's shoulders,,electrical hedge trimmers
conditioning for wrestling and running,,electrical hot comb
connecting the dryer cord to dryer,,electrical house fire
connecting wires,,electrical motor scooter
constructing a laundry hamper,,electrical outlet
constructing retaining wall,,electrical outlet and electrical cord
construction technology class,,electrical outlet box
consumed 12 tablet of clonidine 02mg,,"electrical outlet, bracelet"
consumed a few drops of bleach,,electrical panel
consumed a paper wrapper,,electrical panel door
consumed a pint of vodka,,electrical plug
consumed etoh,,electrical plug prong
consuming a large quantity of alcohol,,electrical saw
consuming alcohol,,electrical scooter
consuming alcohol at friends house and falling down stairs,,electrical skateboard
consuming etoh for past 8 days,,electrical socket
consuming something,,electrical system
contact with a new blanket,,electrical transformer
contact with hot pot,,electrical trimmer
contact with hot water in hot tub,,electrical wire
contact with powered saw,,electrical wires
contacted a grinder in his home workshop,,electricbox
controlled a 4 wheeler,,electricians taped
controlling dog,,electronic bike
convulsing,,electronic book
cook,,electronic cigarette
cooked dinner,,electronic game controller
cooked pork chops,,electronic gaming
cooked soup on stove,,electronic knife
cooking,,electronic one wheel
cooking a can of chili on a wood stove,,electronic scooter
cooking a grill,,elephant decoration
cooking a hamburger,,elephant knick knack
cooking a steak in a frying pan,,elephant statue
cooking a turkey on a charcoal grill,,elevated box
cooking an egg,,elevated deck board and ramp
cooking and chopping,,elevated floor
cooking and cleaning,,elevated platform
cooking and cutting carrots,,elevation in the floor
cooking and heat,,elevation on the floor
cooking and holding pt in baby carrier,,elevator
cooking and lifted a pot,,elevator button
cooking and mixed flour and water put it into grease in the pan,,elevator door
cooking and mixing food in bowl,,elevator doors
cooking and moving a pan,,"elevator doors, dog leash"
cooking and peeling back the lid to open a can of beans,,elevator floor
cooking and reaching for pot of boiling water,,elevator lift
cooking at a fish fry,,elevator rail
cooking bacon,,elevator shaft
cooking bacon in microwave oven,,elevator wall
cooking bacon in the microwave,,"elevator, carpeted floor"
cooking batteries and lye,,"elevator, floor"
cooking beans,,"elevator, tile floor"
cooking beans and removing them from the microwave,,"elevator, wall"
cooking beans in a slow cooker,,elevators
cooking beef in pressure cooker,,eliptical
cooking breakfast,,eliptical exercise machine
cooking breakfast cutting an onion,,eliptical machine
"cooking breakfast, crawled to edge of bed",,ellipitical
cooking broccoli,,ellipitical machine
cooking cannoli,,ellipse machine
cooking cheese,,elliptcal
cooking chicken,,elliptical
cooking chicken on stove,,elliptical exercise bike
cooking christmas dinner,,elliptical exercise equipment
cooking class,,elliptical exercise machine
cooking cutting chicken,,elliptical machine
cooking cutting onions,,elliptical training machine
cooking cutting vegetables,,elliptical type playground toy
cooking deer,,elwo
cooking dinner,,elyptical machine
cooking dinner and cutting an onion,,embalming fluid
cooking dinner and heating up oil to fry fish,,embankment
cooking dinner frying sweet potatoes,,embedded earring
cooking dinner in microwave,,ember
cooking dish,,embers
cooking dumplings,,embers from house fire
cooking egg in microwave,,embroidery machine needle
cooking eggs,,emergency lantern
cooking eggs for his hamburger,,emergency rope of garage door
cooking fish,,emerssion blender blade
cooking fish with oil,,empty bag
cooking food,,empty baggy
cooking food in grease,,empty bottle
cooking food in pan,,empty bottle of *** unknown
cooking food on a charcoal grill,,empty bottle of oxycodone
cooking food on gas stove,,empty box
cooking food on stove,,empty can of beans
cooking for church function,,empty can of crackers
cooking french fries,,empty cardboard box
cooking fried chicken,,empty etho bottles
cooking fries,,empty keg
cooking grilled cheese,,empty pool
cooking grits,,empty stroller
cooking hamburgers,,empty water bottle
cooking hot dog on grill,,enalapril
cooking hotdogs,,enalapril and carvedilol
cooking in a fire pit,,enbankment
cooking in wok,,enclosed slide
cooking lentils,,end of the pool
cooking lima beans,,end of the stick
cooking lobster,,end table
cooking lunch,,"end table, floor"
cooking macaroni,,"end table, toy"
cooking mashed potatoes in the microwave,,endtable
cooking meat,,energy drink
cooking meat on stove,,energy drinks
cooking meth,,energy pill
cooking mushrooms,,engagement ring
cooking noodles,,engine
cooking noodles in microwave,,engine block
cooking noodles in microwave and draining hot water,,engine block and concrete floor
cooking noodles in the microwave,,engine hoist
cooking oil in a pan,,entertainment center
cooking oil in pan,,entertainment center or tv table
cooking on a charcoal grill,,entertainment ctr
cooking on a gas grill,,entertainment ride
cooking on a grill,,entertainment stand
cooking on a propane grill,,entertainment sys
cooking on a stove,,entertainment table corner
cooking on a stove with a pan,,entertinment cabinet
cooking on a stove with multiple pots and pans,,entry door
cooking on flat top stove,,entry table
cooking on gas grill,,envelope
cooking on gas stove,,envelope and paper
cooking on grill,,envelope glue
cooking on his grill,,envelopelt
cooking on hot grill,,epinephrine
cooking on propane gas stove,,epipen auto injector
cooking on stove,,epoxy
cooking on the stove,,epoxy glue packet
cooking on the stove with butter,,epoxy hardener
cooking onion rings,,epoxy resin
cooking out,,epsom salt
cooking outdoors,,equipment
cooking outside on grill,,equipment cable
cooking pasta,,equipment structure and frame of water slide
cooking pizza in the oven,,er pills
cooking popcorn,,eraser
cooking pork chops,,eraser end of pencil
cooking pork in a roaster,,eraser from pencil
cooking pot of potatoes,,eraser of pencil
cooking potato soup,,eraser tip from pencil
cooking potatoes,,erasers
cooking ramen soup,,erring
cooking rice,,erythromycin cream
cooking roasting,,escalator
cooking sausage,,escalator bar
cooking sausage patties,,escalator railing
cooking slicing meat,,escalator stair
cooking smores in fire,,escalator stairs
cooking soup,,escalator step
cooking soup in microwave,,escalator step and luggage
cooking spaghetti,,escalator steps
cooking spaghetti sauce,,escalator treads
cooking steak,,"escalator, bags"
cooking steak on grill,,"escalator, floor"
cooking steaks,,"escalator, luggage"
cooking stirring a pot,,"escalator, umbrella"
cooking sweetpotatoes,,"escalator,sandals"
cooking tacos,,escalators
cooking tater tops on the stovetop,,escante liquid vitamins with iron and tynenol liquid
cooking tea,,escitalopram
cooking thanksgiving dinner,,escitalopram tablets
cooking tomato puree,,escooter
cooking turkey legs on gas stove,,"escooter, vehicle"
cooking using a food grinder,,esotalopram
cooking vegetables,,espresso machine
cooking wings in a turkey fryer,,essential oil
cooking with a pressure cooker,,essential oil blend
cooking with boiling canola oil,,essential oil diffuser
cooking with boiling water,,essential oils
cooking with canola oil,,essential oils and epsom salt
cooking with grease,,estradiol 2mg tablets
cooking with grease on stove,,ethanol
cooking with grease on the stove,,etoh
cooking with hot grease,,etohcacaine
cooking with hot oil,,eucalyptos oil
cooking with oil,,eucalyptus candle
cooking with pressure cooker,,eucalyptus oil
cooking zucchini,,exam table
"cooking, cutting up bell peppers and garlic",,exam tablebench
"cooking, opening a can with a knife",,examination chair
"cooking, putting potatoes in hot boiling water",,examination table
"cooking, slicing vegetables",,examining table
"cooking, trying to open a mango",,exercise
cooking/chopping lettuce,,exercise apparatus
cookout,,exercise ball
copying adult,,"exercise ball, bear rug"
core ab workout,,"exercise ball, couch"
core exercise routine,,"exercise ball, exercise bike"
core workouts,,"exercise ball, laminate floor"
coring an apple,,"exercise ball, walker"
coring the apple,,"exercise ball, wooden chair"
correct wheel,,exercise balls
cosleeping,,exercise band
cosleeping in bed with parent,,exercise bands
cosleeping on bed,,"exercise bands, door knob"
cosleeping w parent,,exercise bar
cosleeping with mom,,exercise belt
cosleeping with parent in bed,,exercise bicycle
cosleeping with parents,,exercise bike
cough house fire,,exercise bike chain
cough induced syncopal episodes,,exercise bike pedal
coughed,,exercise bikefan
coughing,,exercise box
coughing and choking,,exercise cord
coughing and passing out,,exercise device
coughing bc of asthma,,exercise equimpment
coughing blood,,exercise equipment
coughing fit,,"exercise equipment, furniture"
coughing forcefully,,exercise equiptment
coughing in bed,,exercise jungle gym
coughing while on the toilet,,exercise machine
"coughing, gagging",,exercise maching
"coughing, sneezing",,exercise mat
could not get boot off foot,,exercise platform
could not lift head off pillow,,exercise pvc pipe
couldnt get up off floor,,exercise resistance band
covering her dog with a blanket,,exercise rope
covid syncopal episode on toilet,,exercise stretch band
crab fishing,,exercise trampoline
crab walking,,exercise weight
crabbing,,exerciseball
crabwalking,,exerciser machine
cracking his bed,,exercising equipment
craft project,,exercising resistance bands
crafting,,exerice bike
crafting vinyl record in oven,,exfoliating charcoal soap
cranking a lawn mower,,exfoliating soap
cranking lawn mower and cutting grass,,exfoliative soap
cranking weed trimmer,,exhaust
crash on dirt bike track,,exhaust fan
crashed a 4 wheeler atv,,exhaust hood
crashed a friends dirt bike,,exhaust of dirt bike
crashed a mini bike,,exhaust pipe
crashed a motorized scooter,,exhaust pipe of dirt bike
crashed an atv,,exhaust pipe of truck
crashed atv,,exit sign
crashed atv at atv park,,expandable beads
crashed atv going around a corner,,expandable gel like bead
crashed atv into a river,,expanded insulating foam
crashed atv into another atv,,expanding balls
crashed atv into barn,,expired medication
crashed bicycle,,exploding mortars
crashed bicycle into a moving vehicle,,explosion
crashed bicycle into a wooden box,,exposed beam of cat tower
crashed bicycled,,exposed bolt head
crashed bike,,exposed bolt on basketball goal
crashed bike into brothers bike,,exposed metal pipe
crashed bike into mailbox,,exposed sheet metal
crashed bike into parked suv,,exposed spring of a box spring
crashed bike on hill,,exposed staple
crashed bike on ramp,,exposed tile
crashed bikes with brother,,exposed wire on a phone charger
crashed car into pole,,exposed wire on lamp
crashed dirt bike,,"exposed wire, electric lawnmower"
crashed dirt bike into camper,,extended arm
crashed dirt bike into gas grill,,extended hand
crashed go cart,,extendible ladder
crashed go-cart,,extension cord
crashed golf cart into woods,,"extension cord, bed rail"
crashed her wheelchair,,"extension cord, carpeted floor"
crashed his atv,,"extension cord, door"
crashed his bicycle into the side of a brick building,,"extension cord, door frame"
crashed his bike,,"extension cord, floor"
crashed his dirt bike,,"extension cord, floor, wall"
crashed his dirt bike into another dirt bike,,"extension cord, lamp, outlet"
crashed his electric motorbike,,"extension cord, steps"
crashed his electric scooter into a parked car,,"extension cord, tile floor"
crashed his scooter,,"extension cord, wall"
crashed in bicycle accident,,"extension cord, wall outlet"
crashed into a fence,,extension cords
crashed into a tree with 4wheeler,,extension ladder
crashed longboard,,extention lock hole
crashed motocross dirt bike,,exterior light fixture
crashed motor scooter into a curb,,exterior metal door
crashed motorized scooter,,external defibrillator
crashed mountain bike on a trail,,external penis pump
crashed mt bike,,extra strength *** tablets
crashed mv into a tree,,extra strength gel capsules
crashed on a moped,,eye
crashed on bicycle,,eye area
crashed on dirt bike,,eye brow brush
crashed on moped,,eye drops
crashed on scooter,,eye glasses
crashed on skateboard at park,,eye mask
crashed scooter,,eye plugs
crashed scooter into a vehicle,,eye protection
crashed skateboard,,eye shield
crashed snowmobile,,eyeball
crashed the dirt bike,,eyebrow
crashing a scooter,,eyebrow cutters razors
crashing bicycle,,eyebrow pierce
crashing bicycle against curb,,eyebrow piercing
crashing bicycle into car,,eyebrow razor
crashing bike,,eyebrow ring
crashing her motorized scooter into a pole,,eyebrow sharpener
crashing his bicycle into another bicycle,,eyebrow trimmer
crashing his dirt bike,,eyebrow trimmer razor
crashing his motorcycle into a wall,,eyecar battery
crashing into a door,,eyedrops
crashing motorbike into the side of house,,eyeglasses
crashing on dirt bike,,eyeglasses glass
crashing on her 4wd atv,,"eyeglasses, pencil"
crawl between 2 walls,,"eyeglasses, shoe"
crawl up stairs,,eyegtt bottle
crawled,,eyelash curler
crawled around on floor,,eyelash glue
crawled around on the furniture and tried to get back up,,eyelash glue bottle or tube
crawled back into the bathtub,,eyelid swelling
crawled behind mom,,eyes
crawled into a den,,f body
crawled into bath,,fabric
crawled into kitchen,,fabric antler
crawled off a mattress on the floor,,fabric banded wrist watch
crawled off bed,,fabric booster
crawled off of bed,,fabric cutter
crawled off the bed,,fabric paint
crawled off the side of a mattressbox springs,,fabric rotary cutter
crawled off the side of sofa,,fabric softener
crawled on a bunk bed,,fabric softener or lotion
crawled on counter,,fabric softener tablet beads
crawled on vacuum,,fabric softeners
crawled onto booster seat,,fabric softner
crawled onto golf cart,,fabric treatment dryer sheet
crawled out of crib,,fabric treatment products
crawled out of window,,fabric wheel cutter
crawled out window onto roof,,face
crawled over,,face and head
crawled over a space heater,,"face cream, lotion, hand sanitizer"
crawled over bed rail,,face guard
crawled over crib,,face mask
crawled over edge of geri chair,,face masks
crawled over mom's hot flat iron,,face mist
crawled over pillows,,"face paint, halloween mask"
crawled over pushed partially open basement door,,face scrub
crawled over to the fireplace and placed hand on glass covering,,face soap
crawled pulled kettle pouring it on low back legs buttocks,,face wash
crawled then fell off bed,,face wash with scrub beads
crawled through dog door to garage,,facemask
crawled to basement steps,,facemouth
crawled to edge of bed,,faces
crawled to kitchen island,,facial cream
crawled to stairs,,facial moisturizer
crawled to stove top and put her hand on hot glass surface,,facial piercing
crawled to the edge of the bed,,facial piercings
crawled to top of stairs,,facial razor
crawled under car,,facial soap
crawled under lunch table and stood up too quickly,,facial steamer
crawled under table to pick up a pencil,,facial tissue
crawled up a chair then onto the table,,facial wash
crawled up and opened container,,failing object out of a shopping cart
crawled up baby gate and fell,,fair ride
crawled up bathroom counter,,fake christmas tree
crawled up flight of steps,,fake diamond
crawled up into the kitchen sink turned on hot water,,"fake donut, tile floor"
crawled up on bed,,fake earrings
crawled up on sofa,,fake eyelashes glue
crawled up on washer,,fake grass carpet
crawled up onto a ball,,fake nail
crawled up to fathers wheelchair and grabbed an open pocketknife,,"fake nail, jeans"
crawling,,fake nails
